tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
tmfreqs:, 56, 0.4, 0.4, 0, 0.46188, 0.177687, 0.286003
tmfreqs:, 57, 0.38, 0.38, 0, 0.438786, 0.170695, 0.291619
tmfreqs:, 58, 0.36, 0.36, 0, 0.415692, 0.163219, 0.29747
tmfreqs:, 59, 0.34, 0.34, 0, 0.392598, 0.15537, 0.303446
tmfreqs:, 60, 0.32, 0.32, 0, 0.369504, 0.147224, 0.309469
tmfreqs:, 61, 0.3, 0.3, 0, 0.34641, 0.138838, 0.315479
tmfreqs:, 62, 0.28, 0.28, 0, 0.323316, 0.130255, 0.321433
tmfreqs:, 63, 0.26, 0.26, 0, 0.300222, 0.121504, 0.327294
tmfreqs:, 64, 0.24, 0.24, 0, 0.277128, 0.112611, 0.333029
tmfreqs:, 65, 0.22, 0.22, 0, 0.254034, 0.103597, 0.338606
tmfreqs:, 66, 0.2, 0.2, 0, 0.23094, 0.0944769, 0.343993
tmfreqs:, 67, 0.18, 0.18, 0, 0.207846, 0.0852661, 0.349154
tmfreqs:, 68, 0.16, 0.16, 0, 0.184752, 0.0759767, 0.354047
tmfreqs:, 69, 0.14, 0.14, 0, 0.161658, 0.0666197, 0.358623
tmfreqs:, 70, 0.12, 0.12, 0, 0.138564, 0.0572052, 0.362825
tmfreqs:, 71, 0.1, 0.1, 0, 0.11547, 0.0477425, 0.366586
tmfreqs:, 72, 0.08, 0.08, 0, 0.092376, 0.0382404, 0.369828
tmfreqs:, 73, 0.06, 0.06, 0, 0.069282, 0.0287071, 0.372471
tmfreqs:, 74, 0.04, 0.04, 0, 0.046188, 0.0191508, 0.374433
tmfreqs:, 75, 0.02, 0.02, 0, 0.023094, 0.0095792, 0.375643
tmfreqs:, 76, 0, 0, 0, 0, 0, 0.376052
tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2
tmfreqs:, 1, 0, 0, 0, 0, 0, 0.573653
tmfreqs:, 2, 0.02, 0, 0, 0.023094, 0.0145771, 0.571739
tmfreqs:, 3, 0.04, 0, 0, 0.046188, 0.0291284, 0.566829
tmfreqs:, 4, 0.06, 0, 0, 0.069282, 0.0436281, 0.560962
tmfreqs:, 5, 0.08, 0, 0, 0.092376, 0.0580495, 0.554778
tmfreqs:, 6, 0.1, 0, 0, 0.11547, 0.0723653, 0.548491
tmfreqs:, 7, 0.12, 0, 0, 0.138564, 0.086547, 0.542191
tmfreqs:, 8, 0.14, 0, 0, 0.161658, 0.100565, 0.535916
tmfreqs:, 9, 0.16, 0, 0, 0.184752, 0.114387, 0.529691
tmfreqs:, 10, 0.18, 0, 0, 0.207846, 0.127979, 0.523528
tmfreqs:, 11, 0.2, 0, 0, 0.23094, 0.141304, 0.517439
tmfreqs:, 12, 0.22, 0, 0, 0.254034, 0.154322, 0.511432
tmfreqs:, 13, 0.24, 0, 0, 0.277128, 0.166988, 0.50552
tmfreqs:, 14, 0.26, 0, 0, 0.300222, 0.179253, 0.499717
